antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
1487580005268456287,frozenset({'1487580005092295511'}),0.185,0.223,0.113,0.610,2.731,0.072,1.991,0.778
1487580005092295511,frozenset({'1487580005268456287'}),0.223,0.185,0.113,0.507,2.731,0.072,1.651,0.816
1605161575889502297,frozenset({'1487580005092295511'}),0.027,0.223,0.014,0.503,2.255,0.008,1.564,0.572
1487580007575323592,frozenset({'1487580007675986893'}),0.016,0.151,0.010,0.620,4.098,0.008,2.234,0.769
1487580007634043851,frozenset({'1487580007675986893'}),0.047,0.151,0.026,0.542,3.579,0.018,1.851,0.756
2055161088059638328,frozenset({'1487580007675986893'}),0.020,0.151,0.010,0.530,3.503,0.007,1.806,0.729
1783999067156644376,frozenset({'1487580008246412266'}),0.042,0.093,0.033,0.783,8.462,0.029,4.183,0.920
1487580009311764506,frozenset({'1487580009286598681'}),0.064,0.141,0.037,0.579,4.104,0.028,2.041,0.808
1487580009362096156,frozenset({'1487580009286598681'}),0.027,0.141,0.014,0.534,3.782,0.011,1.842,0.756
1487580012994363565,frozenset({'1487580012969197740'}),0.020,0.019,0.010,0.512,26.414,0.010,2.009,0.982
1487580012969197740,frozenset({'1487580012994363565'}),0.019,0.020,0.010,0.525,26.414,0.010,2.065,0.981
1487580012969197740,frozenset({'1487580013011140782'}),0.019,0.038,0.010,0.525,13.976,0.009,2.028,0.947
1487580013053083824,frozenset({'1487580013011140782'}),0.021,0.038,0.012,0.578,15.370,0.012,2.279,0.955
1487580013841613016,frozenset({'1487580013858390233'}),0.048,0.031,0.027,0.553,17.926,0.025,2.169,0.992
1487580013858390233,frozenset({'1487580013841613016'}),0.031,0.048,0.027,0.864,17.926,0.025,7.016,0.974
1783999068867920626,frozenset({'1783999068909863670'}),0.013,0.036,0.010,0.781,21.983,0.010,4.404,0.967
"1487580005268456287, 1487580004916134735",frozenset({'1487580005092295511'}),0.018,0.223,0.012,0.657,2.941,0.008,2.261,0.672
"1487580005092295511, 1487580004916134735",frozenset({'1487580005268456287'}),0.020,0.185,0.012,0.579,3.121,0.008,1.934,0.694
"1487580005134238553, 1487580005268456287",frozenset({'1487580005092295511'}),0.020,0.223,0.013,0.646,2.892,0.008,2.192,0.668
"1487580005134238553, 1487580005092295511",frozenset({'1487580005268456287'}),0.023,0.185,0.013,0.558,3.010,0.009,1.843,0.684
"1487580005511725929, 1487580005268456287",frozenset({'1487580005092295511'}),0.017,0.223,0.010,0.611,2.737,0.006,1.997,0.645
"1487580005511725929, 1487580005092295511",frozenset({'1487580005268456287'}),0.018,0.185,0.010,0.563,3.034,0.007,1.862,0.683
"1487580005595612013, 1487580005268456287",frozenset({'1487580005092295511'}),0.042,0.223,0.026,0.625,2.801,0.017,2.073,0.671
"1487580005595612013, 1487580005092295511",frozenset({'1487580005268456287'}),0.048,0.185,0.026,0.541,2.915,0.017,1.773,0.690
"1487580005268456287, 1487580005671109489",frozenset({'1487580005092295511'}),0.028,0.223,0.017,0.603,2.700,0.011,1.955,0.648
"1487580005671109489, 1487580005092295511",frozenset({'1487580005268456287'}),0.032,0.185,0.017,0.534,2.878,0.011,1.747,0.674
"1487580005092295511, 1487580005713052531",frozenset({'1487580005268456287'}),0.020,0.185,0.011,0.519,2.797,0.007,1.693,0.656
"1487580005268456287, 1487580005713052531",frozenset({'1487580005092295511'}),0.019,0.223,0.011,0.556,2.491,0.006,1.750,0.610
"1487580006317032337, 1487580005268456287",frozenset({'1487580005092295511'}),0.046,0.223,0.030,0.649,2.906,0.020,2.211,0.687
"1487580006317032337, 1487580005092295511",frozenset({'1487580005268456287'}),0.055,0.185,0.030,0.538,2.904,0.020,1.765,0.694
"1487580005268456287, 1487580006551913373",frozenset({'1487580005092295511'}),0.017,0.223,0.012,0.687,3.076,0.008,2.479,0.687
"1487580006551913373, 1487580005092295511",frozenset({'1487580005268456287'}),0.020,0.185,0.012,0.608,3.279,0.008,2.078,0.709
"1487580005268456287, 1487580007256556476",frozenset({'1487580005092295511'}),0.018,0.223,0.012,0.681,3.051,0.008,2.436,0.685
"1487580005092295511, 1487580007256556476",frozenset({'1487580005268456287'}),0.022,0.185,0.012,0.563,3.036,0.008,1.864,0.686
"1487580007281722301, 1487580005268456287",frozenset({'1487580005092295511'}),0.026,0.223,0.019,0.702,3.143,0.013,2.605,0.700
"1487580007281722301, 1487580005092295511",frozenset({'1487580005268456287'}),0.030,0.185,0.019,0.626,3.376,0.013,2.178,0.725
"1487580005268456287, 1487580007634043851",frozenset({'1487580005092295511'}),0.018,0.223,0.011,0.600,2.687,0.007,1.942,0.639
"1487580005092295511, 1487580007634043851",frozenset({'1487580005268456287'}),0.020,0.185,0.011,0.548,2.953,0.007,1.801,0.675
"1487580005268456287, 1487580007675986893",frozenset({'1487580005092295511'}),0.051,0.223,0.031,0.614,2.748,0.020,2.010,0.670
"1487580007675986893, 1487580005092295511",frozenset({'1487580005268456287'}),0.058,0.185,0.031,0.540,2.913,0.021,1.771,0.697
"1487580008145748965, 1487580005268456287",frozenset({'1487580005092295511'}),0.032,0.223,0.019,0.610,2.731,0.012,1.990,0.655
"1487580008145748965, 1487580005092295511",frozenset({'1487580005268456287'}),0.035,0.185,0.019,0.560,3.018,0.013,1.850,0.693
"1487580009286598681, 1487580005268456287",frozenset({'1487580005092295511'}),0.048,0.223,0.031,0.650,2.912,0.020,2.220,0.690
"1487580009286598681, 1487580005092295511",frozenset({'1487580005268456287'}),0.055,0.185,0.031,0.564,3.039,0.021,1.867,0.710
"1487580005268456287, 1487580009311764506",frozenset({'1487580005092295511'}),0.018,0.223,0.013,0.682,3.056,0.008,2.444,0.685
"1487580005092295511, 1487580009311764506",frozenset({'1487580005268456287'}),0.023,0.185,0.013,0.543,2.930,0.008,1.784,0.674
"1487580009387261981, 1487580005268456287",frozenset({'1487580005092295511'}),0.029,0.223,0.020,0.703,3.150,0.014,2.617,0.703
"1487580009387261981, 1487580005092295511",frozenset({'1487580005268456287'}),0.032,0.185,0.020,0.638,3.438,0.014,2.247,0.733
"1487580009445982239, 1487580005268456287",frozenset({'1487580005092295511'}),0.037,0.223,0.024,0.654,2.928,0.016,2.243,0.684
"1487580009445982239, 1487580005092295511",frozenset({'1487580005268456287'}),0.043,0.185,0.024,0.567,3.058,0.016,1.881,0.703
"1487580009471148064, 1487580005268456287",frozenset({'1487580005092295511'}),0.019,0.223,0.012,0.639,2.863,0.008,2.153,0.663
"1487580009471148064, 1487580005092295511",frozenset({'1487580005268456287'}),0.021,0.185,0.012,0.576,3.108,0.008,1.923,0.693
"1487580005268456287, 1487580009605365797",frozenset({'1487580005092295511'}),0.018,0.223,0.012,0.640,2.866,0.008,2.157,0.663
"1487580005092295511, 1487580009605365797",frozenset({'1487580005268456287'}),0.021,0.185,0.012,0.564,3.041,0.008,1.868,0.685
"1487580010100293687, 1487580005268456287",frozenset({'1487580005092295511'}),0.022,0.223,0.015,0.661,2.961,0.010,2.291,0.677
"1487580010100293687, 1487580005092295511",frozenset({'1487580005268456287'}),0.025,0.185,0.015,0.587,3.166,0.010,1.973,0.702
"1602943681873052386, 1487580005268456287",frozenset({'1487580005092295511'}),0.043,0.223,0.027,0.642,2.875,0.018,2.169,0.681
"1602943681873052386, 1487580005092295511",frozenset({'1487580005268456287'}),0.052,0.185,0.027,0.525,2.830,0.018,1.714,0.682
"1487580005595612013, 1602943681873052386",frozenset({'1487580005092295511'}),0.025,0.223,0.012,0.500,2.240,0.007,1.553,0.567
"1487580006317032337, 1602943681873052386",frozenset({'1487580005092295511'}),0.026,0.223,0.014,0.530,2.374,0.008,1.653,0.594
"1487580005092295511, 1487580007634043851",frozenset({'1487580007675986893'}),0.020,0.151,0.011,0.538,3.555,0.008,1.837,0.733
"1487580005092295511, 1487580009311764506",frozenset({'1487580009286598681'}),0.023,0.141,0.014,0.615,4.357,0.011,2.230,0.789
"1487580009286598681, 1602943681873052386",frozenset({'1487580005092295511'}),0.024,0.223,0.013,0.540,2.417,0.008,1.687,0.601
"1487580009471148064, 1487580005092295511",frozenset({'1487580009445982239'}),0.021,0.117,0.011,0.528,4.511,0.009,1.871,0.795
"1602943681873052386, 1487580009445982239",frozenset({'1487580005092295511'}),0.022,0.223,0.012,0.524,2.346,0.007,1.631,0.587
"1487580005268456287, 1487580009311764506",frozenset({'1487580009286598681'}),0.018,0.141,0.012,0.636,4.503,0.009,2.357,0.793
"1487580009471148064, 1487580005268456287",frozenset({'1487580009445982239'}),0.019,0.117,0.010,0.547,4.673,0.008,1.949,0.801
"1487580006317032337, 1487580009311764506",frozenset({'1487580009286598681'}),0.018,0.141,0.011,0.642,4.550,0.009,2.400,0.794
"1487580006317032337, 1487580009471148064",frozenset({'1487580009445982239'}),0.020,0.117,0.011,0.535,4.574,0.008,1.900,0.797
"1487580009445982239, 1487580009311764506",frozenset({'1487580009286598681'}),0.016,0.141,0.011,0.656,4.649,0.008,2.498,0.798
"1487580009286598681, 1487580009471148064",frozenset({'1487580009445982239'}),0.019,0.117,0.011,0.569,4.865,0.008,2.051,0.810
"1487580006317032337, 1487580005268456287, 1487580007675986893",frozenset({'1487580005092295511'}),0.017,0.223,0.011,0.663,2.969,0.007,2.304,0.674
"1487580006317032337, 1487580007675986893, 1487580005092295511",frozenset({'1487580005268456287'}),0.019,0.185,0.011,0.589,3.178,0.008,1.984,0.698
"1487580006317032337, 1487580009286598681, 1487580005268456287",frozenset({'1487580005092295511'}),0.017,0.223,0.012,0.699,3.131,0.008,2.581,0.693
"1487580006317032337, 1487580009286598681, 1487580005092295511",frozenset({'1487580005268456287'}),0.020,0.185,0.012,0.595,3.210,0.008,2.013,0.703
"1487580006317032337, 1487580009445982239, 1487580005268456287",frozenset({'1487580005092295511'}),0.015,0.223,0.010,0.697,3.123,0.007,2.565,0.690
"1487580006317032337, 1487580009445982239, 1487580005092295511",frozenset({'1487580005268456287'}),0.017,0.185,0.010,0.593,3.195,0.007,1.999,0.699
"1487580009286598681, 1487580005268456287, 1487580007675986893",frozenset({'1487580005092295511'}),0.016,0.223,0.011,0.667,2.989,0.007,2.335,0.676
"1487580009286598681, 1487580007675986893, 1487580005092295511",frozenset({'1487580005268456287'}),0.019,0.185,0.011,0.580,3.130,0.007,1.942,0.693
"1602943681873052386, 1487580005268456287, 1487580007675986893",frozenset({'1487580005092295511'}),0.016,0.223,0.011,0.656,2.937,0.007,2.256,0.671
"1602943681873052386, 1487580007675986893, 1487580005092295511",frozenset({'1487580005268456287'}),0.019,0.185,0.011,0.579,3.125,0.007,1.937,0.693
"1487580009286598681, 1487580009445982239, 1487580005268456287",frozenset({'1487580005092295511'}),0.015,0.223,0.010,0.695,3.115,0.007,2.551,0.689
"1487580009286598681, 1487580009445982239, 1487580005092295511",frozenset({'1487580005268456287'}),0.017,0.185,0.010,0.594,3.204,0.007,2.007,0.700
