antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
art,visage,0.022,0.022,0.022,1.000,44.522,0.022,inf,1.000
visage,art,0.022,0.022,0.022,1.000,44.522,0.022,inf,1.000
bluesky,runail,0.049,0.345,0.027,0.544,1.578,0.010,1.438,0.385
de_lux,bpw_style,0.035,0.117,0.018,0.535,4.561,0.014,1.897,0.809
freedecor,bpw_style,0.047,0.117,0.037,0.797,6.800,0.032,4.349,0.895
bpw_style,runail,0.117,0.345,0.063,0.535,1.552,0.022,1.410,0.403
cosmoprofi,runail,0.028,0.345,0.015,0.543,1.576,0.006,1.435,0.376
de_lux,irisk,0.035,0.300,0.019,0.562,1.875,0.009,1.599,0.483
de_lux,runail,0.035,0.345,0.022,0.634,1.838,0.010,1.790,0.472
domix,runail,0.091,0.345,0.046,0.505,1.465,0.015,1.324,0.349
entity,irisk,0.019,0.300,0.010,0.539,1.797,0.005,1.518,0.452
entity,runail,0.019,0.345,0.011,0.571,1.655,0.004,1.526,0.403
freedecor,irisk,0.047,0.300,0.023,0.500,1.667,0.009,1.400,0.420
freedecor,runail,0.047,0.345,0.023,0.501,1.453,0.007,1.313,0.327
ingarden,runail,0.112,0.345,0.060,0.539,1.562,0.022,1.420,0.405
nagaraku,irisk,0.028,0.300,0.016,0.580,1.935,0.008,1.668,0.497
irisk,runail,0.300,0.345,0.156,0.519,1.506,0.052,1.363,0.480
severina,irisk,0.062,0.300,0.032,0.517,1.725,0.013,1.450,0.448
milv,runail,0.057,0.345,0.028,0.501,1.452,0.009,1.312,0.330
pole,runail,0.047,0.345,0.024,0.510,1.479,0.008,1.337,0.340
rosi,runail,0.018,0.345,0.010,0.566,1.642,0.004,1.511,0.398
roubloff,runail,0.023,0.345,0.013,0.588,1.706,0.006,1.592,0.424
severina,runail,0.062,0.345,0.037,0.593,1.719,0.015,1.608,0.446
"bluesky, runail",irisk,0.027,0.300,0.015,0.544,1.814,0.007,1.535,0.461
"bluesky, irisk",runail,0.022,0.345,0.015,0.664,1.925,0.007,1.950,0.491
"irisk, de_lux",bpw_style,0.019,0.117,0.011,0.582,4.962,0.009,2.110,0.814
"bpw_style, de_lux",irisk,0.018,0.300,0.011,0.612,2.040,0.006,1.803,0.519
"bpw_style, de_lux",runail,0.018,0.345,0.012,0.631,1.829,0.005,1.773,0.462
"runail, de_lux",bpw_style,0.022,0.117,0.012,0.532,4.537,0.009,1.885,0.797
