antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
5854897,5013,0.036,0.013,0.002,0.061,4.635,0.002,1.051,0.814
5013,5854897,0.013,0.036,0.002,0.168,4.635,0.002,1.158,0.795
5304,5809910,0.022,0.068,0.002,0.093,1.355,0.001,1.027,0.268
5809910,5304,0.068,0.022,0.002,0.030,1.355,0.001,1.008,0.282
5304,5854897,0.022,0.036,0.002,0.112,3.090,0.002,1.085,0.692
5854897,5304,0.036,0.022,0.002,0.068,3.090,0.002,1.050,0.702
5528034,5528035,0.006,0.013,0.003,0.489,36.278,0.003,1.929,0.978
5528035,5528034,0.013,0.006,0.003,0.224,36.278,0.003,1.280,0.986
5561044,5561064,0.013,0.006,0.003,0.205,32.509,0.003,1.250,0.982
5561064,5561044,0.006,0.013,0.003,0.410,32.509,0.003,1.674,0.975
5584838,5584836,0.003,0.004,0.002,0.733,196.884,0.002,3.725,0.998
5584836,5584838,0.004,0.003,0.002,0.600,196.884,0.002,2.492,0.999
5584844,5584836,0.004,0.004,0.002,0.618,166.000,0.002,2.606,0.998
5584836,5584844,0.004,0.004,0.002,0.600,166.000,0.002,2.491,0.998
5686925,5700037,0.034,0.027,0.004,0.126,4.627,0.003,1.113,0.812
5700037,5686925,0.027,0.034,0.004,0.158,4.627,0.003,1.147,0.806
5686925,5700046,0.034,0.012,0.002,0.070,5.698,0.002,1.063,0.854
5700046,5686925,0.012,0.034,0.002,0.195,5.698,0.002,1.200,0.835
5802432,5686925,0.023,0.034,0.005,0.211,6.175,0.004,1.224,0.858
5686925,5802432,0.034,0.023,0.005,0.145,6.175,0.004,1.142,0.868
5809910,5686925,0.068,0.034,0.003,0.046,1.332,0.001,1.012,0.268
5686925,5809910,0.034,0.068,0.003,0.091,1.332,0.001,1.025,0.258
5815662,5686925,0.024,0.034,0.002,0.101,2.955,0.002,1.074,0.678
5686925,5815662,0.034,0.024,0.002,0.070,2.955,0.002,1.050,0.685
5686925,5843836,0.034,0.016,0.005,0.150,9.423,0.005,1.158,0.926
5843836,5686925,0.016,0.034,0.005,0.322,9.423,0.005,1.425,0.908
5686925,5854897,0.034,0.036,0.005,0.140,3.859,0.004,1.121,0.767
5854897,5686925,0.036,0.034,0.005,0.132,3.859,0.004,1.113,0.769
5687151,5854897,0.014,0.036,0.002,0.149,4.105,0.002,1.132,0.767
5854897,5687151,0.036,0.014,0.002,0.056,4.105,0.002,1.045,0.785
5700035,5700046,0.009,0.012,0.002,0.234,18.911,0.002,1.289,0.956
5700046,5700035,0.012,0.009,0.002,0.166,18.911,0.002,1.189,0.959
5700046,5700037,0.012,0.027,0.003,0.246,9.019,0.003,1.291,0.900
5700037,5700046,0.027,0.012,0.003,0.112,9.019,0.003,1.112,0.914
5802432,5700037,0.023,0.027,0.003,0.134,4.913,0.003,1.123,0.816
5700037,5802432,0.027,0.023,0.003,0.115,4.913,0.003,1.104,0.819
5809910,5700037,0.068,0.027,0.003,0.045,1.629,0.001,1.018,0.415
5700037,5809910,0.027,0.068,0.003,0.112,1.629,0.001,1.048,0.397
5809912,5700037,0.032,0.027,0.002,0.063,2.313,0.001,1.038,0.586
5700037,5809912,0.027,0.032,0.002,0.074,2.313,0.001,1.045,0.584
5843836,5700037,0.016,0.027,0.003,0.164,6.019,0.002,1.164,0.847
5700037,5843836,0.027,0.016,0.003,0.096,6.019,0.002,1.089,0.857
5854897,5700037,0.036,0.027,0.004,0.102,3.721,0.003,1.083,0.759
5700037,5854897,0.027,0.036,0.004,0.135,3.721,0.003,1.114,0.752
5745314,5745313,0.004,0.004,0.002,0.660,167.844,0.002,2.931,0.998
5745313,5745314,0.004,0.004,0.002,0.613,167.844,0.002,2.572,0.998
5751422,5751383,0.027,0.022,0.008,0.284,13.054,0.007,1.366,0.949
5751383,5751422,0.022,0.027,0.008,0.350,13.054,0.007,1.498,0.944
5809910,5751383,0.068,0.022,0.003,0.037,1.713,0.001,1.016,0.447
5751383,5809910,0.022,0.068,0.003,0.117,1.713,0.001,1.055,0.425
5751383,5849033,0.022,0.022,0.002,0.114,5.115,0.002,1.104,0.822
5849033,5751383,0.022,0.022,0.002,0.111,5.115,0.002,1.101,0.823
5809910,5751422,0.068,0.027,0.004,0.061,2.258,0.002,1.036,0.598
5751422,5809910,0.027,0.068,0.004,0.155,2.258,0.002,1.102,0.572
5751422,5849033,0.027,0.022,0.006,0.230,10.312,0.006,1.270,0.928
5849033,5751422,0.022,0.027,0.006,0.277,10.312,0.006,1.345,0.924
5759491,5759492,0.009,0.011,0.002,0.273,24.499,0.002,1.361,0.968
5759492,5759491,0.011,0.009,0.002,0.213,24.499,0.002,1.259,0.970
5766980,5759492,0.005,0.011,0.002,0.436,39.068,0.002,1.754,0.979
5759492,5766980,0.011,0.005,0.002,0.184,39.068,0.002,1.220,0.985
5809910,5789668,0.068,0.011,0.002,0.032,2.903,0.001,1.022,0.704
5789668,5809910,0.011,0.068,0.002,0.199,2.903,0.001,1.163,0.663
5792800,5809910,0.020,0.068,0.003,0.169,2.469,0.002,1.121,0.607
5809910,5792800,0.068,0.020,0.003,0.049,2.469,0.002,1.031,0.639
5792800,5849033,0.020,0.022,0.003,0.130,5.828,0.002,1.124,0.845
5849033,5792800,0.022,0.020,0.003,0.116,5.828,0.002,1.109,0.847
5854897,5793704,0.036,0.012,0.002,0.058,4.745,0.002,1.048,0.819
5793704,5854897,0.012,0.036,0.002,0.172,4.745,0.002,1.164,0.799
5802432,5843836,0.023,0.016,0.002,0.092,5.770,0.002,1.084,0.847
5843836,5802432,0.016,0.023,0.002,0.136,5.770,0.002,1.130,0.840
5802432,5854897,0.023,0.036,0.003,0.139,3.828,0.002,1.119,0.757
5854897,5802432,0.036,0.023,0.003,0.090,3.828,0.002,1.073,0.767
5804663,5804665,0.005,0.003,0.002,0.452,146.632,0.002,1.819,0.998
5804665,5804663,0.003,0.005,0.002,0.759,146.632,0.002,4.121,0.996
