user_id,recency,frequency,monetary
9794320,96,2,7.720000000000001
10079204,115,2,25.810000000000002
10280338,10,19,63.29
12055855,71,4,16.54
12936739,43,2,29.89
15400971,78,3,35.71
15781728,105,2,20.31
19762782,111,2,20.29
20554973,45,5,17.71
23633626,32,6,14.05
25300038,3,5,28.700000000000003
25392526,73,3,22.139999999999997
27443691,33,5,29.12
27756757,33,1,20.63
27872944,15,5,18.71
28048440,109,8,28.38
28129653,81,13,42.85
29025780,145,14,37.96
31229488,149,3,12.53
31604181,27,4,24.14
31647175,62,2,15.879999999999999
32701458,89,6,23.65
33535391,139,8,93.65
33609704,137,5,15.45
34080306,79,3,22.46
34236465,119,11,28.19
34615712,98,2,19.91
35376580,122,2,10.89
36180886,110,13,52.58
37189384,72,15,38.49
40168534,129,2,9.28
40409101,113,8,32.61
40725049,53,11,65.33
40821287,149,15,27.56
41520807,109,4,13.47
41696100,11,8,25.74
41738010,72,7,56.230000000000004
41993972,32,1,17.46
43695999,58,18,82.98
43713532,139,29,139.06
45437953,139,7,59.45
46032705,40,4,49.93
46383252,32,8,41.1
46447886,66,23,127.63
46824230,99,17,38.85
46913150,16,3,10.639999999999999
47076222,4,31,90.23
47076970,83,4,11.18
47157987,17,5,77.7
48273884,128,8,42.56
49163609,6,5,21.26
49280814,137,8,43.87
50127646,73,2,12.62
50142794,26,11,37.68
50320281,149,4,23.650000000000002
50748978,77,8,9.34
50764735,21,22,160.82
52747911,142,2,14.29
52921857,26,8,29.65
53111013,144,1,20.0
53613286,49,33,84.53
53730108,67,3,9.68
54710988,14,18,88.53999999999999
55587706,65,1,2.22
56612519,23,44,161.95
56955826,94,4,38.72
57087751,19,2,15.56
58556296,24,15,41.95
60197759,99,6,23.29
60754030,128,10,53.34
61237122,13,20,115.26
61397540,67,2,22.22
62299360,127,4,8.57
62651561,98,2,8.45
62679402,75,3,31.41
62833736,146,4,78.89
63698187,147,5,16.67
63701865,40,2,51.03
65241811,110,4,31.16
65249432,88,9,69.93
66042561,40,4,14.53
66642081,99,10,32.93
66666512,16,5,12.54
66918148,32,5,11.48
67037574,91,1,8.25
69701627,19,16,141.16
69749548,80,14,94.16000000000001
70406741,68,10,84.63000000000001
70797410,89,3,40.08
70980330,142,3,307.14
71388964,3,9,24.39
71769733,11,17,85.15
71813330,10,7,45.660000000000004
72062431,82,6,10.0
72140588,81,39,209.23
72655920,6,23,225.52
72766913,114,20,75.99
72931003,58,37,183.4
73392870,102,3,25.06
73463214,130,3,20.79
74332980,129,7,22.509999999999998
74653760,88,7,56.379999999999995
74845500,148,5,14.75
75397800,124,13,29.34
75649789,45,14,32.19
75972882,151,8,32.28
76025480,59,15,48.699999999999996
76459932,113,18,85.94
77124253,73,5,40.95
77415158,84,3,10.16
77443718,136,1,2.86
77946977,2,25,101.69
78279373,53,6,28.55
78547121,144,11,31.06
79401570,47,14,61.11
79422613,106,13,63.45
79635674,98,4,39.57
79645599,114,4,17.62
80173246,92,5,17.5
80223000,149,5,49.54
80310232,142,4,42.620000000000005
80577370,92,10,106.24
80594434,19,2,10.54
81128893,89,3,7.61
81218140,122,4,4.83
81429390,36,3,20.950000000000003
81446843,67,4,20.22
81670055,141,6,28.0
82382663,48,12,102.76
83275416,6,2,33.02
83426546,12,3,48.75
83805166,100,18,59.58
83998413,21,60,234.07999999999998
84188119,48,6,28.830000000000002
84339756,82,16,67.55
85243355,97,4,19.9
85884065,104,1,10.32
85993766,108,10,48.26
86528611,0,14,23.54
86556143,81,1,33.81
87350970,129,10,19.27
88211255,4,21,106.08
88940739,18,41,131.99
89056866,34,19,85.48
89466654,72,3,26.35
91136858,37,37,123.15
92366748,99,22,93.43
92381432,8,5,95.50999999999999
92854689,43,3,10.799999999999999
93243034,39,18,29.86
93279832,72,15,52.59
93917710,43,11,54.55
94390236,114,2,19.36
95081970,10,8,89.67999999999999
95758554,11,29,519.74
96430126,48,7,20.55
96949890,9,2,41.25
97980555,33,9,55.900000000000006
98079173,71,7,14.92
98354430,99,11,52.76
98498013,35,1,2.38
99011711,63,4,32.86
99293243,4,20,150.88
99499363,8,13,67.09
99666343,74,1,4.0
99678913,138,3,9.36
99848331,41,10,55.4
100557945,8,4,15.83
100787781,106,8,39.1
101025416,73,10,60.510000000000005
101281763,91,4,39.900000000000006
101571486,39,6,40.35
101779631,32,9,31.13
102771868,20,6,69.53
103156342,49,5,27.14
103274988,29,15,90.31
103540490,124,3,34.13
103566871,97,8,25.21
104368191,120,4,22.07
104584175,138,2,16.75
104664738,115,11,29.09
104808268,48,24,101.01
105075440,68,8,38.21
105118203,25,30,198.44
105379623,81,6,20.080000000000002
105697630,11,89,418.01
106471075,40,15,252.98000000000002
107076265,23,5,44.44
107088121,136,6,6.78
107113173,138,5,45.19
107219040,37,1,34.05
107945915,0,113,361.1
108875256,32,3,20.78
109091597,110,30,163.64000000000001
109899387,103,2,28.950000000000003
109928361,137,4,13.41
110478711,146,1,18.89
110795472,18,1,19.03
111515411,110,5,25.86
111672982,68,1,16.03
111782974,89,4,11.39
112556049,87,2,17.3
113487654,113,6,39.93
113529092,140,5,18.88
113828158,66,2,16.51
114401397,26,14,99.58
114462217,79,2,10.8
114598339,75,9,30.299999999999997
115036271,99,11,58.38
115398528,32,31,376.94
115460314,114,4,20.53
115857713,129,3,29.41
116049280,40,17,45.49
116391305,19,4,45.870000000000005
116498266,112,1,13.33
117857805,137,3,12.54
117870795,31,8,49.31
118539394,89,15,69.63
118735467,110,13,55.96
118821435,95,61,338.13
118988445,49,5,20.52
119190618,98,20,38.87
119406840,98,1,41.41
119917559,139,10,33.260000000000005
120679988,4,2,14.27
120831073,43,1,1.9
121059288,15,3,16.669999999999998
121496884,85,14,63.3
121508783,97,23,85.06
122125743,91,8,41.55
122626605,36,10,15.57
122897605,113,10,43.06
123765602,41,5,9.58
124354517,44,25,188.96
124850942,83,21,229.69
125333572,32,22,89.99
125804082,51,3,18.65
126051562,48,53,264.27
126492008,106,4,23.799999999999997
126580575,89,6,31.04
127009474,34,4,19.92
127261957,101,15,47.879999999999995
127274675,13,43,140.5
127350130,74,8,56.49
127383794,90,13,75.21000000000001
127690568,95,6,83.39999999999999
128172267,36,6,44.910000000000004
128263123,110,9,34.69
128562720,151,5,15.559999999999999
129089988,120,1,47.59
129675214,57,7,39.59
129845309,33,3,73.89
129863522,113,7,23.240000000000002
130496744,119,2,20.549999999999997
131028611,129,2,10.64
131878551,109,2,6.49
131994138,78,20,83.88
132136725,147,6,22.12
132176314,143,10,40.730000000000004
132692896,4,59,189.73
133575160,12,1,9.52
134424129,107,2,11.11
134747658,45,3,28.57
135535592,33,8,20.64
136540093,74,3,14.36
137015634,54,5,27.62
137385912,19,12,90.91
137810775,136,3,13.4
140439288,148,6,21.560000000000002
140904065,92,2,27.810000000000002
140913335,25,23,141.66
141330451,116,6,16.47
141894282,104,7,18.33
142717569,12,63,266.56
144811207,127,5,10.88
144814405,86,10,32.46
145844909,79,2,14.68
145894216,93,4,42.32
146137902,49,14,39.84
146310893,63,17,54.05
146594787,93,9,37.93
146613395,106,10,36.1
146699059,22,29,280.99
147140434,125,7,43.76
147152600,138,12,30.29
147392796,77,7,58.730000000000004
147417144,89,4,11.33
147558947,27,11,44.62
147995998,9,9,27.37
148604608,1,2,5.0
148648103,47,10,43.9
149005745,48,19,77.1
149015329,114,2,8.49
149017750,64,12,61.48
149295616,40,2,7.140000000000001
149797702,54,12,110.7
149936015,106,16,124.91
149958406,78,7,35.0
150025339,114,11,74.71000000000001
150191214,145,8,35.56
150318419,0,306,3291.4
150673027,54,8,32.18
150768457,116,14,39.88
150908548,22,5,7.04
151045021,99,29,150.57
151188116,90,1,53.81
151229872,2,40,178.86
151411420,17,9,29.93
151651065,99,4,11.41
151745761,146,8,35.29
151747503,112,2,7.859999999999999
151783193,150,3,7.779999999999999
151909411,18,7,45.5
151971056,145,5,17.44
152013756,50,13,61.6
152034948,146,4,34.13
152422125,144,5,36.81
152423178,22,6,33.410000000000004
152656876,46,7,33.629999999999995
152659135,93,2,14.95
153131177,141,5,29.21
153316955,0,65,604.77
153378194,76,10,150.41
153836569,1,41,194.93
153840255,93,11,34.39
153879841,35,23,88.51
153921069,136,8,43.58
