user_id,Recency,Frequency,Monetary
9794320,96,4,12.68
10079204,115,2,25.810000000000002
10280338,10,86,177.83
12055855,71,4,16.54
12936739,43,2,29.89
15400971,78,3,35.71
15781728,105,2,20.31
19762782,111,8,80.28999999999999
20554973,45,7,21.810000000000002
23633626,32,8,22.13
25300038,3,5,28.700000000000003
25392526,73,3,22.139999999999997
27443691,33,5,29.12
27756757,33,1,20.63
27872944,15,5,18.71
28048440,109,15,49.38
28129653,81,23,81.05
29025780,145,18,41.68
31229488,149,4,14.43
31604181,27,4,24.14
31647175,62,2,15.879999999999999
32701458,89,7,24.44
33535391,139,11,138.88
33609704,137,9,31.310000000000002
34080306,79,4,27.7
34236465,119,11,28.19
34615712,98,2,19.91
35376580,122,2,10.89
36180886,110,22,89.67
37189384,72,15,38.49
40168534,129,3,11.34
40409101,113,14,44.5
40725049,53,14,77.24
40821287,149,20,34.71
41520807,109,6,23.950000000000003
41696100,11,11,30.33
41738010,72,7,56.230000000000004
41993972,32,1,17.46
43695999,58,25,125.82
43713532,139,56,228.1
45437953,139,10,77.1
46032705,40,4,49.93
46383252,32,10,52.53
46447886,66,40,218.44
46824230,99,27,48.58
46913150,16,3,10.639999999999999
47076222,4,38,109.26
47076970,83,4,11.18
47157987,17,5,77.7
48273884,128,8,42.56
49163609,6,11,40.0
49280814,137,9,47.84
50127646,73,2,12.62
50142794,26,14,43.68
50320281,149,4,23.650000000000002
50748978,77,9,10.01
50764735,21,52,330.01
52747911,142,3,23.02
52921857,26,9,35.84
53111013,144,1,20.0
53613286,49,42,135.82
53730108,67,3,9.68
54710988,14,26,120.17999999999999
55587706,65,1,2.22
56612519,23,88,264.18
56955826,94,4,38.72
57087751,19,2,15.56
58556296,24,15,41.95
60197759,99,6,23.29
60754030,128,11,54.61
61237122,13,26,141.4
61397540,67,2,22.22
62299360,127,4,8.57
62651561,98,2,8.45
62679402,75,3,31.41
62833736,146,6,89.37
63698187,147,7,24.61
63701865,40,10,97.11
65241811,110,5,41.79
65249432,88,14,103.99
66042561,40,5,17.39
66642081,99,11,34.64
66666512,16,5,12.54
66918148,32,5,11.48
67037574,91,1,8.25
69701627,19,17,152.11
69749548,80,27,163.01000000000002
70406741,68,16,94.87
70797410,89,3,40.08
70980330,142,3,307.14
71388964,3,19,44.11
71769733,11,20,100.11
71813330,10,18,133.66
72062431,82,15,30.91
72140588,81,51,223.61
72655920,6,28,234.55
72766913,114,42,122.95
72931003,58,52,224.70000000000002
73392870,102,3,25.06
73463214,130,3,20.79
74332980,129,8,31.88
74653760,88,7,56.379999999999995
74845500,148,7,19.34
75397800,124,40,60.2
75649789,45,37,91.56
75972882,151,12,46.09
76025480,59,16,50.6
76459932,113,22,102.42999999999999
77124253,73,7,52.07
77415158,84,5,14.120000000000001
77443718,136,4,11.44
77946977,2,32,132.35
78279373,53,6,28.55
78547121,144,37,82.44
79401570,47,17,64.89999999999999
79422613,106,20,93.66
79635674,98,4,39.57
79645599,114,4,17.62
80173246,92,7,26.36
80223000,149,6,51.92
80310232,142,4,42.620000000000005
80577370,92,10,106.24
80594434,19,2,10.54
81128893,89,4,8.4
81218140,122,8,13.67
81429390,36,3,20.950000000000003
81446843,67,4,20.22
81670055,141,6,28.0
82382663,48,12,102.76
83275416,6,2,33.02
83426546,12,3,48.75
83805166,100,24,78.06
83998413,21,89,299.19
84188119,48,9,46.0
84339756,82,36,104.61
85243355,97,5,24.869999999999997
85884065,104,1,10.32
85993766,108,11,52.230000000000004
86528611,0,27,44.96
86556143,81,1,33.81
87350970,129,27,41.47
88211255,4,22,106.86999999999999
